Lakers,8053
Henson,2
Hornets,1858
McDermott,5
Prigioni,7
Bibby,1
Milicic,13
Nene,4
Mullin,1
Hill,3
Whiteside,8
Oberto,1
Beaubois,1
Keefe,4
Towns,1793
Diaw,4
Gugliotta,-49
Hudson,1
Nuggets,703
Harkless,9
Rose,12
Copeland,418
Young,39
Nets,40
McGrady,491
Celtics,6936
Szczerbiak,1
Kerr,1
Finland,12
Snow,37
Gay,2
Turner,5
Zhizhi,13
Legend,3
Bucks,365
Turiaf,271
Willams,2
Miner,2
Pelicans,822
Gervin,2
Bulls,2807
Parish,1
Phills,191
Dragic,1
NBA,1928
Drummond,2
Pistons,2328
Horford,2
Mozgov,2
Odom,174
Tabuse,103
Bunt,32
Price,5
Abdul-Jabbar,2
76ers,1562
Kidd,0
Oladipo,1
Deng,89
Hawks,1113
Bogut,66
Carter,2
Mavs,4
Braves,6
Paul,13
Suns,2404
Lee,1
Russell,-61
Huskies,3
Anderson,8
Grizzlies,117
Brown,28
III,2
Speights,8
Gobert,13
Williams,221
Jones,2
Wizards,2357
Rondo,22
West,165
Gasol,3
Wroten,7
Claxton,1203
Stoudemire,27
Nurkic,1037
Schrempf,7
Maravich,10
Heat,4339
Erving,1
Timberwolves,2001
Randle,2
Mills,1
Smits,55
Morrow,3
Collison,10
Marjanovic,3
Miller,23
Hoiberg,16
Rockets,1300
Republic,1
Shumpert,1
Warriors,2503
Raptors,1650
Walker,6
Jackson,3
Peterson,278
Wiggins,15
Billups,483
Chalmers,0
Haslem,5
Ingles,2
Mavericks,977
Ming,3
Love,375
Antetokounmpo,133
Azubuike,5
Bosh,17
Kings,2743
Harden,17
O'Neal,27
Thuder,64
Pippen,722
Seikaly,1
Bazemore,5
Supersonics,676
Marshall,24
Thabeet,2
Pacers,389
USA,1
Biyombo,3
Robinson,1
Ewing,182
Barnes,2
Blazers,722
Delk,6
LaVine,3
Thunder,4368
Walton,34
Clippers,1598
DeRozan,1
Payton,7
McCollum,1
Clarkson,0
Mashburn,1
Bennett,4
Stojakovic,16
Arenas,1
LaFrentz,432
Cavaliers,10740
Babbitt,13
Favors,2
Spurs,3422
Lowry,8
Butler,24
Fields,1
Maggette,-63
Kaman,-12
Lin,6
KnickerBockers,2
Beal,3
Griffin,25
Webber,428
Pietrus,13
Process,24
East,17
Crabbe,782
Bobcats,3
Wallace,10
Roy,3
Aldridge,134
Bird,2039
Hezonja,5
McRoberts,9
Hamilton,3
Knicks,1794
Cheaney,1
Bandwagon,1114
Starks,1
Randolph,601
Exel,1
Andriuskevicius,2
Smart,1
Sampson,2
Jazz,226
Magic,1460
Crowder,3
