Lakers,7982
Eackles,5
Hornets,3293
McDermott,4
Bibby,11
Celtics,9083
Turiaf,1
Schrempf,1
Huertas,1
Hill,4
Morris,71
Oberto,6
Mavs,255
Ilunga-Mbenga,1
Keefe,18
Lopez,38
Towns,2
Diaw,28
Cousins,-18
Nuggets,3175
Swift,2
Rose,15
Copeland,878
Nater,6
Morrison,11
Spain,1
Nets,6062
McGrady,10
Milicic,19
Szczerbiak,1
Canada,4
Jennings,2
Griffin,2
Gay,4
Reeves,2
Turner,7
Antetokounmpo,38
Legend,4
Bucks,1034
Thomas,9
Anderson,1
Redd,16
Willams,2865
Miner,4
Chamberlain,1
Pelicans,222
Peace,20
Bulls,7364
Vujacic,2
Frazier,113
Powell,3
Galloway,15
NBA,2077
Warriors,6312
Pistons,1859
Horford,16
Beaubois,1
Odom,1
Sealy,2
Nocioni,3
Australia,1
Joseph,6
Price,695
Foyle,1
Abdul-Jabbar,8
76ers,4922
Kidd,3
Mashburn,10
Melo,1
Hawks,4071
Ginobili,13
Bogut,4
Carter,1073
Mason,6
Serbia,2
Spencer,1
Grant,2
Hamilton,2
Kidd-Gilchrist,11
Paul,12
Suns,295
Russell,11
Huskies,52
Wells,1
Mensah-Bonsu,16
Grizzlies,408
Brown,3
Drummond,1
Powe,1
Harper,0
Speights,3
Gobert,6
Williams,6
Jones,2
Wizards,1611
Foster,1
Terry,3
Rondo,5
Kemp,3
Ellis,24
West,252
Mavericks,3601
Stoudemire,174
Nurkic,3885
Bosh,1
Maravich,13
Heat,10087
Erving,387
Rodman,22
Malone,7
Fizer,1
Mills,12
Smits,88
Collison,4072
Najera,7
Marjanovic,6
Miller,7
Nigeria,1
Hoiberg,3
Rockets,4929
Houston,410
Shumpert,1
Anthony,6
Zeller,2
Raptors,9086
Lewis,1
Walker,42
Wallace,2
Ehlo,1
Jackson,-17
III,4
Wiggins,150
Billups,6
Baker,10
Heinsohn,4
Krstic,1
Gasol,11
Ming,13
Ukic,1
Love,23
Chandler,3
Ellington,9
Kukoc,1
Prince,3
Azubuike,3
Kings,1811
Rivers,4
Harden,32
O'Neal,4
Thuder,147
Young,131
Hunter,1
Pippen,-3
Bazemore,18
Supersonics,4173
Marshall,16
Ewing,3
Lenard,1
Pacers,147
USA,22
Biyombo,2
Payton,1003
Cole,3
Shammgod,19
McLemore,4
Blazers,2471
Vaught,1
Delk,7
Stockton,-12
Igoudala,1
Thunder,11408
Noel,16
Clippers,3935
Kilpatrick,1
DeRozan,18
Divac,2
Robinson,8
McCollum,3
Noah,1
Oladipo,2
Bennett,3
Stojakovic,27
Arenas,19
Lowry,15
Cavaliers,15608
Valanciunas,40
Redick,2
Favors,1
Spurs,3705
Buechler,1
Timberwolves,6164
Varejao,6
Washington,8
Childress,-1
Horry,4
Butler,45
Beverley,1
Maggette,-4
Kaman,1
Bargnani,12
Lin,4
KnickerBockers,15
Schnittker,1
Rubio,22
Knicks,4403
Pavlovic,10
Webber,1
Traylor,1
Process,1
East,112
Crabbe,4803
Bobcats,3
Ezeli,107
Murry,1
Walton,1
Aldridge,9
Bird,2
Mourning,8
Braves,30
Scalabrine,2
Cheaney,-63
Bandwagon,6568
Starks,9
Randolph,855
Andriuskevicius,2
Lithuania,4
Smart,11
Sampson,2
Jazz,1649
Bledsoe,1
Calderon,2
Magic,426
