Lakers,5340
Mullin,3
Bobcats,14
Hornets,408
Prigioni,182
Celtics,3098
Rockets,1431
Azubuike,-1
Henson,1
Shumpert,37
Anthony,120
Whiteside,4
Raptors,3564
Ming,1
Walker,67
Keefe,4
Igoudala,1
Lopez,3
Towns,3
Diaw,322
Smits,0
Nuggets,3164
Mavericks,2219
Harkless,4
Jones,1
Copeland,1
Young,13
Chandler,3
Nets,247
Antetokounmpo,1
Szczerbiak,4
Kukoc,1
Kerr,2
McKie,13
Roberson,23
Stoudemire,1
Bulls,637
Kings,448
Love,199
Noel,3
Gay,2
Turner,0
Billups,-3
Vujacic,6
Bucks,174
Thuder,221
Stackhouse,25
Miner,35
Pippen,4
Pelicans,126
Crowder,44
Drummond,1
Bazemore,2
Supersonics,2891
Kaman,1
Frazier,1
Lenard,18
Pacers,160
Schrempf,8
Payton,8
Sabonis,9
NBA,1504
Warriors,2895
Pistons,1559
Blazers,250
Noah,2
Odom,9
Tabuse,1
Clarkson,-3
Motiejunas,2
Aldridge,-1
Walton,12
Clippers,282
Prince,4
Ilunga-Mbenga,1
DeRozan,0
Rose,1
Robinson,372
Price,8
Foyle,6
Abdul-Jabbar,7
76ers,1495
Divac,7
Mashburn,1
Winslow,8
Hawks,73
Ginobili,25
Lowry,-1
Casspi,252
Carter,403
Spencer,1
Rubio,399
Braves,89
Paul,2
Spurs,3136
Splitter,1
Suns,2589
Crawford,3
Russell,8
Huskies,1
Waiters,17
Bogut,1
Smart,1
McCollum,1
Grizzlies,74
Willams,7
KnickerBockers,197
Caboclo,1
Generals,2
Harden,5
Williams,-11
Grant,415
Griffin,3
Marion,13
Webber,9
Cassell,7
Lewis,22
East,45
Wizards,3966
Crabbe,820
Joseph,5
Oladipo,5
Wallace,20
Ellis,-3
West,48
Gasol,19
Bird,260
Claxton,1
Mourning,2
Hamilton,22
Knicks,4944
Process,3
Ewing,11
Bandwagon,2187
Maravich,311
Heat,8167
Thunder,4574
Timberwolves,1793
Fields,135
Deng,3
Jazz,476
Hollis-Jefferson,11
Arenas,47
Magic,1397
Collison,26
Cavaliers,8239
