Lakers,3939
Mullin,10
Hornets,4301
Celtics,1365
Thuder,563
Rockets,2166
Jasikevicius,2
Erving,-3
Oubre,1
Anthony,3
Raptors,3265
Walker,120
Jackson,2
Towns,97
Billups,6
Cousins,12
Gugliotta,-17
Love,3
Chamberlain,1
Nuggets,27
Ewing,1
Novak,488
Aldridge,22
Alston,1
Jones,266
Copeland,255
KnickerBockers,1
Young,24
Nets,98
Gasol,1
McGrady,1
Schr\xc3\xb6der,24
Kukoc,3
Roberson,4
Cabarkapa,89
Harden,392
Carter,10
O'Neal,1
Kings,1266
Korver,26
Cummings,16
Blake,8
Supersonics,2500
Bucks,162
Thomas,8
Turiaf,219
Chalmers,2
Pippen,426
Crowder,908
Drummond,2
Bulls,2952
Vujacic,1
Marshall,11
Frazier,4
Pacers,287
USA,14
Fields,1
Lin,20
Galloway,213
NBA,975
Snell,187
Pistons,247
Sampson,5
Blazers,1687
Clark,1
Shelton,2
Walton,5
Clippers,587
DeRozan,13
Azubuike,14
Ross,1
Foyle,4
Abdul-Jabbar,2
76ers,1336
Stojakovic,2
Hawks,76
Ginobili,0
Lowry,4
Bogut,4
West,24
Babbitt,6
Valanciunas,30
Kidd-Gilchrist,5
Paul,3
Spurs,1469
Knicks,4550
Timberwolves,931
Richmond,405
Russell,2
Huskies,4
Butler,16
Snow,1
Mensah-Bonsu,428
Pelicans,33
Grizzlies,61
Brown,16
Gobert,74
Warriors,14311
Caboclo,10
Suns,43
Speights,27
Biedrins,24
Process,28
East,10
Wizards,1209
Crabbe,2568
Rondo,14
Wallace,5
Mavericks,1628
Wroten,4
Antetokounmpo,2
Hezonja,14
Claxton,1
Mourning,1
Cheaney,16
Bandwagon,1977
Maravich,61
Heat,4401
Thunder,1866
Bird,-1
Malone,48
Finley,3
Smart,19
Beal,2
Jazz,857
Arenas,1
Magic,168
Collison,2
Cavaliers,1114
