Lakers,3575
Mullin,2
Hornets,38
Celtics,1385
Turiaf,24
Rockets,311
Stockton,4
Anthony,407
Whiteside,6
Raptors,3381
Beaubois,7
Walker,11
Jackson,1
Peterson,3
Wiggins,20
Diaw,1
Mavericks,1622
Nuggets,2232
Mutombo,5
Gasol,9
Rose,2
Copeland,1
Young,6
Olowokandi,5
Miller,4
McGrady,5
Ruffin,2
Kukoc,14
Karasev,12
Stoudemire,107
Bulls,694
Kings,306
Harden,151
O'Neal,331
Turner,1
Cummings,5
Vujacic,1
Cavaliers,9456
Thomas,1
Thuder,312
McRoberts,48
Miner,749
Pippen,175
Nets,65
Ming,4
Bazemore,6
Supersonics,438
Frazier,4
Lenard,2
Head,2
Pacers,32
Galloway,2
NBA,2580
KnickerBockers,1
Pistons,278
Anderson,1
Blazers,1212
Tabuse,8
Walton,237
Clippers,108
Divac,0
Price,132
Crawford,1
76ers,161
Kidd,1
Generals,4
Beasley,6
Hawks,36
Ginobili,41
Lowry,-5
Bogut,3
West,4
Clark,1
Braves,12
Spurs,1471
Suns,307
Russell,1
Monroe,1
Mensah-Bonsu,3
Pelicans,143
Grizzlies,105
Buckets,1
Warriors,1943
Belinelli,1
Griffin,28
Gobert,3
Bucks,243
Jones,2
East,2
Wizards,675
Crabbe,43
Wallace,4
Aldridge,3
Barbosa,588
Antetokounmpo,215
Ward,1
Claxton,1575
Mourning,36
Hamilton,32
Knicks,3254
Process,2
Bandwagon,1695
Heat,1638
Thunder,2477
Timberwolves,1580
Jazz,3
Morrow,84
Collison,430
Magic,2601
